#Id  dx dy dz  sx sy sz  rx ry rz
#Meteroids
0  3 2 -1.5 0.1 0.1 0.1 0 0  0.523
0 -3 4 -2  0.2 0.2 0.2  0 0.523 0 
0 -3 3 -3.5 0.25 0.25 0.25 0.523 0 0 
0 2 2 -4 0.3 0.3 0.3 0.523 0.7 0.7 
0 6 5 -6 0.3 0.3 0.3 0.523 0.7 0.7 
0 -4 4 -7.5 0.4 0.4 0.4 0.523 0 0 
0  3 1 -9 0.1 0.1 0.1 0 0  0.523
0 6 2 -11 0.2 0.2 0.2  0 0.523 0 
0 -4 1 -12 0.25 0.25 0.25 0.523 0 0 
0 2 0 -14 0.3 0.3 0.3 0.523 0.7 0.7 
0 -1 1 -16 0.3 0.3 0.3 0.523 0.7 0.7 
0 -2 -2 -20.5 0.4 0.4 0.4 0.523 0 0 
0 3 -3 -25 0.25 0.25 0.25 0.523 0 0 
0 -7 2 -28 0.3 0.3 0.3 0.523 0.7 0.7 
0 4 -6 -32 0.3 0.3 0.3 0.523 0.7 0.7 
0  1 1 -36 0.1 0.1 0.1 0 0  0.523
0 -3 -3 -40  0.2 0.2 0.2  0 0.523 0 
0 5 5 -45 0.25 0.25 0.25 0.523 0 0 
0 -2 2 -50 0.3 0.3 0.3 0.523 0.7 0.7 
0 2 0 -65 0.3 0.3 0.3 0.523 0.7 0.7 
#BlackHoles
7 0 0 3 0.1 0.1 0.1 1.570795 0.523 0 
7 1 0 0  0.2 0.2 0.2 1.570795 0.523 0 
7 -2 -2 -3  0.1 0.1 0.1 1.570795 0.523 0 
7 1.5 0 -9  0.2 0.2 0.2 1.570795 0.523 0 
7 4 -2 -13  0.1 0.1 0.1 1.570795 0.7 0 
7 0 0 -17 0.2 0.2 0.2 1.570795 0.22 0 
7 -2 4 -23 0.1 0.1 0.1 1.570795 0.523 0 
7 2 0 -27  0.2 0.2 0.2 1.570795 0.523 0 
7 0 -1.5 -30  0.1 0.1 0.1 1.570795 0.523 0 
7 0 2 -32  0.2 0.2 0.2 1.570795 0.523 0 
7 0 1 -33  0.1 0.1 0.1 1.570795 0.7 0 
7 0 -1 -40.2 0.2 0.2 1.570795 0.22 0 
#LightTunnels
8 1 0 3 0.1 0.1 0.1 1.570795 0.523 0 
8 1.5 0 0  0.2 0.2 0.2 1.570795 0.523 0 
8 -2 -2.6 -3  0.1 0.1 0.1 1.570795 0.523 0 
8 1.5 0 -9  0.2 0.2 0.2 1.570795 0.523 0 
8 4 -2.9 -13  0.1 0.1 0.1 1.570795 0.7 0 
8 0 1 -18 0.2 0.2 0.2 1.570795 0.22 0 
8 -2.9 4 -23 0.1 0.1 0.1 1.570795 0.523 0 
8 2.3 1 -27  0.2 0.2 0.2 1.570795 0.523 0 
8 0 1.7 -33  0.1 0.1 0.1 1.570795 0.523 0 
8 1 -2 -40  0.2 0.2 0.2 1.570795 0.523 0 
8 0 1 -45  0.1 0.1 0.1 1.570795 0.7 0 
8 0 -1 -50.2 0.2 0.2 1.570795 0.22 0  
